asteroid_name,t1_jd,ra1,1-Dec,sun_x_1,sun_y_1,sun_z_1,t2_jd,ra2,2-Dec,sun_x_2,sun_y_2,sun_z_2,t3_jd,ra3,3-Dec,sun_x_3,sun_y_3,sun_z_3,t_target_jd,jpl_r2_x,jpl_r2_y,jpl_r2_z,jpl_v2_x,jpl_v2_y,jpl_v2_z,jpl_dist2,jpl_a,jpl_e,jpl_i,jpl_loan,jpl_aop,jpl_ma
2002 QF15,2458301.5,18 47 54.17,+36 01 36.0,-0.173667665,1.001690118,-7.21E-05,2458313.5,18 14 30.42,+36 09 46.7,-0.368910865,0.947231303,-7.07E-05,2458317.5,18 05 32.41,+35 38 46.3,-0.431053476,0.920374811,-6.77E-05,2458313.5,0.39759896,-1.218105134,0.474652928,0.011391609,0.002683362,0.003751031,0.937668634,1.056800056,0.34423311,25.15525144,236.2379804,255.5046145,140.4194575
2003 UD8,2459390.5,18 25 07.66,-17 26 32.9,-0.059958193,1.01465646,-7.68E-05,2459400.5,18 15 28.02,-16 27 06.6,-0.227248418,0.990991539,-7.72E-05,2459410.5,18 05 40.05,-15 30 37.6,-0.388226225,0.939413592,-7.23E-05,"(2459420.5,)",0.257831696,-1.572640424,0.071699807,0.013695751,0.008521807,0.000489299,0.937668634,2.717433781,0.536344894,3.887454458,238.3878022,108.3136805,344.1428964
1950 LA,2459010.5,5 54 25.87,15 11 32.5,0.18839,0.91533,0.39677,2459020.5,6 21 41.96,13 51 50.0,0.02025,0.93222,0.40409,2459030.5,6 47 41.93,12 20 16.0,-0.14848,0.922787,0.400002,2459020.5,0,0,0,0,0,0,0,0,0,0,0,0,0
asdf,2459758.69,4.316288688,0.206484571,-0.10947087,0.92734131,0.40195958,2459772.678,4.288703032,0.198792032,-0.33966537,0.87912289,0.38105389,2459774.696,4.288313242,0.194899463,-0.37160176,0.86810635,0.37627689,2459772.678,0,0,0,0,0,0,0,0,0,0,0,0,0
2002 QF15,2458301.5,18 47 54.36 ,36 01 39.5,-1.74E-01,9.19E-01,3.98E-01,2458313.5,18 14 30.53 ,+36 09 50.2,-3.69E-01,8.69E-01,3.77E-01,2458317.5,18 05 32.49 ,+35 38 49.8,-4.31E-01,8.44E-01,3.66E-01,2458313.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
